ID	chrom	loc.start	loc.end	num.mark	seg.mean
GSM525760.txt	1	564434	1557738	127	0.047
GSM525760.txt	1	1558732	1566584	11	0.4256
GSM525760.txt	1	1585603	12840216	1149	-0.2322
GSM525760.txt	1	12853919	12917453	6	-0.9824
GSM525760.txt	1	12918789	16794202	306	-0.2571
GSM525760.txt	1	16806047	17221915	22	0.1108
GSM525760.txt	1	17231787	72761297	5247	-0.2629
GSM525760.txt	1	72777689	72795450	2	-4.8119
GSM525760.txt	1	72830038	117147152	3259	-0.2957
GSM525760.txt	1	117149502	117199973	5	0.3243
GSM525760.txt	1	117207229	121350900	284	-0.2689
GSM525760.txt	1	143532200	152556475	631	0.0171
GSM525760.txt	1	152569882	152581914	4	-0.9008
GSM525760.txt	1	152586257	155834395	465	0.0304
GSM525760.txt	1	155842262	155901615	10	-0.6681
GSM525760.txt	1	155907846	155949711	7	-1.1043
GSM525760.txt	1	155957157	155978878	3	-0.6215
GSM525760.txt	1	155983763	175704772	1952	0.0013
GSM525760.txt	1	175743207	176160185	38	0.4135
GSM525760.txt	1	176170639	196711624	1439	0.0276
GSM525760.txt	1	196738926	196801170	8	-0.6347
GSM525760.txt	1	196825164	201958322	443	0.0275
GSM525760.txt	1	201964439	202821206	96	-0.6049
GSM525760.txt	1	202827336	202888705	10	0.1669
GSM525760.txt	1	202894355	202922762	5	-0.6719
GSM525760.txt	1	202931238	211650991	833	0.0476
GSM525760.txt	1	211657182	211672130	6	0.4017
GSM525760.txt	1	211676830	223708167	824	0.0422
GSM525760.txt	1	223731509	223740896	2	-0.7765
GSM525760.txt	1	223844868	248688631	2249	0.0309
GSM525760.txt	1	248727928	248795435	11	-0.9174
GSM525760.txt	1	248808398	249224120	34	0.0516
GSM525760.txt	2	30370	92261994	7062	0.0394
GSM525760.txt	2	95344286	95518389	7	0.4715
GSM525760.txt	2	95528472	122504288	2043	0.0418
GSM525760.txt	2	122513997	122517391	2	-0.9198
GSM525760.txt	2	122523820	230755515	8358	0.0324
GSM525760.txt	2	230763131	230811302	6	-0.7021
GSM525760.txt	2	230824730	233217963	253	0.0532
GSM525760.txt	2	233231985	233301223	11	0.3949
GSM525760.txt	2	233305784	242865949	908	0.059
GSM525760.txt	2	242867848	242998343	27	0.3728
GSM525760.txt	2	243007329	243068369	6	-0.0063
GSM525760.txt	3	64095	469157	37	-0.7837
GSM525760.txt	3	480481	611665	13	1.0777
GSM525760.txt	3	625160	650718	4	0.5318
GSM525760.txt	3	666286	3783622	294	1.0898
GSM525760.txt	3	3792467	12015109	718	0.4678
GSM525760.txt	3	12039146	12174396	17	0.8582
GSM525760.txt	3	12183896	12292887	14	0.5204
GSM525760.txt	3	12306945	13337478	92	0.8619
GSM525760.txt	3	13346564	20742281	623	-0.0286
GSM525760.txt	3	20788873	30018955	637	-0.3306
GSM525760.txt	3	30032681	32525565	178	-1.338
GSM525760.txt	3	32533219	33414657	90	0.3427
GSM525760.txt	3	33430642	33483580	6	0.7586
GSM525760.txt	3	33512259	50233987	1630	-0.2546
GSM525760.txt	3	50237449	50408826	39	-0.0213
GSM525760.txt	3	50420039	59713599	985	-0.2653
GSM525760.txt	3	59722779	59732041	2	-1.2103
GSM525760.txt	3	59740184	60314443	65	-0.3208
GSM525760.txt	3	60331297	60642756	34	-0.6755
GSM525760.txt	3	60654983	75471857	1143	-0.2953
GSM525760.txt	3	75571182	75717289	3	0.2511
GSM525760.txt	3	75762785	81478283	342	-0.3246
GSM525760.txt	3	81514829	114122221	2054	0.2653
GSM525760.txt	3	114133980	114513824	39	0.0197
GSM525760.txt	3	114522491	162504792	4000	0.2852
GSM525760.txt	3	162514563	162619111	10	0.8878
GSM525760.txt	3	162630208	197702993	2920	0.2858
GSM525760.txt	3	197710921	197716320	2	1.199
GSM525760.txt	3	197723240	197895198	17	0.2402
GSM525760.txt	4	51439	3436508	380	0.088
GSM525760.txt	4	3444437	3604298	23	0.3743
GSM525760.txt	4	3619915	8860479	537	0.0456
GSM525760.txt	4	8862423	9824607	39	0.4526
GSM525760.txt	4	9832771	102265930	6458	0.0111
GSM525760.txt	4	102277107	102620572	22	0.2544
GSM525760.txt	4	102634832	173422554	4784	0.0115
GSM525760.txt	4	173429526	173429526	3	3.1685
GSM525760.txt	4	173440159	190936864	1259	0.0162
GSM525760.txt	5	22178	710523	76	0.313
GSM525760.txt	5	718339	773073	6	-0.1212
GSM525760.txt	5	784274	981564	21	0.3002
GSM525760.txt	5	992982	1078761	12	0.5617
GSM525760.txt	5	1085962	46115056	3107	0.2754
GSM525760.txt	5	49559949	68832986	1451	-1.3551
GSM525760.txt	5	69238706	147558963	5903	-0.7159
GSM525760.txt	5	147566636	148801541	141	1.319
GSM525760.txt	5	148804650	149013219	27	1.7567
GSM525760.txt	5	149027715	150725684	209	1.3247
GSM525760.txt	5	150731164	152899314	148	1.542
GSM525760.txt	5	152904458	154267233	132	0.5372
GSM525760.txt	5	154277984	154425527	14	1.5755
GSM525760.txt	5	154433592	154701341	8	1.2177
GSM525760.txt	5	154766400	158098115	267	0.8736
GSM525760.txt	5	158108510	180712233	1833	0.5197
GSM525760.txt	6	152663	283997	10	-0.0302
GSM525760.txt	6	293466	375919	9	0.3835
GSM525760.txt	6	389452	29854899	2572	-0.0155
GSM525760.txt	6	29867438	29954958	13	0.2701
GSM525760.txt	6	29961416	31939795	312	0.0641
GSM525760.txt	6	31948220	32015077	6	0.4542
GSM525760.txt	6	32019175	32411986	61	-0.0273
GSM525760.txt	6	32450721	32478182	3	-1.0106
GSM525760.txt	6	32487450	32521899	4	-2.5839
GSM525760.txt	6	32526087	32604008	8	-0.0326
GSM525760.txt	6	32611042	32620538	3	-0.7823
GSM525760.txt	6	32624815	34236517	200	0.0294
GSM525760.txt	6	34249306	47401559	1417	-0.3079
GSM525760.txt	6	47425956	78926586	1955	-0.0292
GSM525760.txt	6	78979201	79023298	3	-0.8073
GSM525760.txt	6	79045288	82480631	212	-0.0181
GSM525760.txt	6	82512499	150894103	4933	-0.3606
GSM525760.txt	6	150910031	170832461	1679	-0.7452
GSM525760.txt	6	170841598	171025492	15	-0.1101
GSM525760.txt	7	45159	5279720	579	0.0939
GSM525760.txt	7	5285730	5647489	45	0.2382
GSM525760.txt	7	5652146	14097370	648	0.0391
GSM525760.txt	7	14153567	14682587	58	-0.7816
GSM525760.txt	7	14697574	14754094	7	-0.4988
GSM525760.txt	7	14767523	14944548	17	-0.8279
GSM525760.txt	7	14967181	38287514	2034	0.0304
GSM525760.txt	7	38292651	38431328	21	0.3115
GSM525760.txt	7	38439403	89856514	3544	0.0399
GSM525760.txt	7	89865763	89865763	3	0.9603
GSM525760.txt	7	89871203	143884053	4943	0.0507
GSM525760.txt	7	143951960	143953444	3	-0.58
GSM525760.txt	7	144074521	150632640	615	0.0289
GSM525760.txt	7	150642147	150916027	52	0.2009
GSM525760.txt	7	150921781	159118536	763	0.0172
GSM525760.txt	8	73831	1785262	172	0.0085
GSM525760.txt	8	1795993	7752556	464	-0.7586
GSM525760.txt	8	8079890	8094750	2	0.2093
GSM525760.txt	8	8102689	11132985	283	-0.728
GSM525760.txt	8	11141217	11145036	4	-0.118
GSM525760.txt	8	11152807	12039951	80	-0.6384
GSM525760.txt	8	12231836	12241122	2	-1.8407
GSM525760.txt	8	12404032	12556033	4	-0.1122
GSM525760.txt	8	12557797	12973884	38	-0.6589
GSM525760.txt	8	12987652	13498788	59	-2.5167
GSM525760.txt	8	13535957	39222396	2092	-0.7117
GSM525760.txt	8	39237467	39386128	20	-0.1607
GSM525760.txt	8	39392504	40906002	122	-0.739
GSM525760.txt	8	40955316	43527935	234	0.0538
GSM525760.txt	8	46942985	47948726	23	1.4373
GSM525760.txt	8	48001777	48120159	11	1.8762
GSM525760.txt	8	48129027	48798505	66	1.5092
GSM525760.txt	8	48805936	48842480	5	1.8642
GSM525760.txt	8	48848267	48885418	9	1.5068
GSM525760.txt	8	48892851	48938814	5	2.1077
GSM525760.txt	8	48947034	49176358	11	1.5181
GSM525760.txt	8	49220042	50278274	61	1.8328
GSM525760.txt	8	50306580	52164844	127	1.4981
GSM525760.txt	8	52195460	53146163	65	1.8199
GSM525760.txt	8	53152903	56635549	262	1.5044
GSM525760.txt	8	56652043	56698943	9	1.1317
GSM525760.txt	8	56708533	56961143	25	1.9059
GSM525760.txt	8	56968958	58105644	77	1.5507
GSM525760.txt	8	58143734	58273831	10	1.9732
GSM525760.txt	8	58294718	63916768	418	1.7139
GSM525760.txt	8	63923296	64408682	39	1.4541
GSM525760.txt	8	64443523	65608230	68	1.7257
GSM525760.txt	8	65618383	66029267	20	2.3124
GSM525760.txt	8	66056942	82028866	1190	2.0302
GSM525760.txt	8	82038765	82127834	4	2.4421
GSM525760.txt	8	82164981	109668481	2171	1.2909
GSM525760.txt	8	109685355	146294069	2810	1.047
GSM525760.txt	9	163160	2880510	258	0.5195
GSM525760.txt	9	2901076	3916273	94	-0.3116
GSM525760.txt	9	3932361	66457850	2789	0.5217
GSM525760.txt	9	66469574	71137476	33	0.3135
GSM525760.txt	9	71145962	73265698	223	-1.3276
GSM525760.txt	9	73280428	73316545	6	1.0335
GSM525760.txt	9	73357168	75113614	172	0.2623
GSM525760.txt	9	75123126	77732465	184	-1.3608
GSM525760.txt	9	77746688	85569385	469	-0.2862
GSM525760.txt	9	85581517	90150520	358	0.3505
GSM525760.txt	9	90160824	90559532	43	0.7338
GSM525760.txt	9	90570731	91928016	93	1.1362
GSM525760.txt	9	91931568	91931568	3	0.432
GSM525760.txt	9	91932850	93404708	94	1.1617
GSM525760.txt	9	93410035	95780438	219	0.8578
GSM525760.txt	9	95787863	97154748	133	2.0649
GSM525760.txt	9	97182522	98224290	105	3.7714
GSM525760.txt	9	98230801	99711605	129	-0.6958
GSM525760.txt	9	99730144	99776327	3	0.839
GSM525760.txt	9	99792022	100020573	21	-0.5091
GSM525760.txt	9	100035491	116848822	1450	-0.7168
GSM525760.txt	9	116859166	123151170	464	0.3152
GSM525760.txt	9	123158186	139450632	1907	-0.6547
